"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","oz_swing_percent","whiff_percent","swing_percent"
"Turner, Justin","457759","2023","38","558","626","154","100","31","0","23","110","51",17.6,8.1,".276",".455",".345","0.800",".260",".444",".346",".336",".331",".184","89.5","16.5",36.8,5.7,39,"98.567368238","93.587032225",25.7,17.5,45
"Santana, Carlos","467793","2023","37","550","619","132","75","33","1","23","104","65",16.8,10.5,".240",".429",".318","0.747",".240",".378",".323",".308",".319",".138","88.8","12.8",31.3,6.7,36.4,"99.367236","93.791213073",24,22.1,45.3
"Goldschmidt, Paul","502671","2023","35","593","687","159","103","31","0","25","161","87",23.4,12.7,".268",".447",".363","0.810",".271",".491",".350",".367",".366",".220","91.3","12.8",35.6,12,50.8,"102.40959555","95.767792759",26.5,27.5,44
"Freeman, Freddie","518692","2023","33","637","730","211","121","59","2","29","121","72",16.6,9.9,".331",".567",".410","0.977",".323",".565",".411",".408",".403",".243","90","15.2",46.6,11.1,42.2,"100.590638269","94.617661541",26.9,20.4,51
"LeMahieu, DJ","518934","2023","34","497","562","121","81","22","3","15","125","60",22.2,10.7,".243",".390",".327","0.717",".255",".393",".315",".322",".339",".138","89.6","3.8",31.6,5.9,43,"100.265359786","94.32212244",23.1,19.7,39.2
"Perez, Salvador","521692","2023","33","538","580","137","93","21","0","23","135","19",23.3,3.3,".255",".422",".292","0.714",".266",".460",".302",".325",".306",".194","90.1","15.6",38,8.8,44,"101.357412537","94.955683293",47,30.2,60.2
"Ozuna, Marcell","542303","2023","32","530","592","145","75","29","1","40","134","57",22.6,9.6,".274",".558",".346","0.904",".283",".581",".381",".396",".356",".298","91.8","15.6",34.9,16.6,49,"103.257673232","96.232240934",29.7,26.7,48.4
"Semien, Marcus","543760","2023","32","670","753","185","112","40","4","29","110","72",14.6,9.6,".276",".478",".348","0.826",".262",".427",".354",".333",".337",".165","88.4","19.1",37.5,6.5,37,"98.08417844","93.189258191",21.4,18,47.1
"Springer III, George","543807","2023","33","613","683","158","111","25","1","21","125","60",18.3,8.8,".258",".405",".327","0.732",".264",".422",".320",".332",".335",".158","88.3","12",32.2,7.7,39.9,"100.34851102","94.297792755",23.1,22.3,49.3
"Harper, Bryce","547180","2023","30","457","546","134","83","29","1","21","119","80",21.8,14.7,".293",".499",".401","0.900",".290",".530",".384",".399",".403",".240","91.8","9.1",36.8,15.2,46.8,"103.839812899","96.235486154",33.4,33.2,51.4
"Abreu, José","547989","2023","36","540","594","128","86","23","1","18","130","42",21.9,7.1,".237",".383",".296","0.679",".248",".409",".295",".314",".311",".161","89","10.8",32.5,8.7,41.6,"100.821833606","94.59770588",36.3,26.4,50.1
"Díaz, Elias","553869","2023","32","486","526","130","90","25","1","14","118","34",22.4,6.5,".267",".409",".316","0.725",".245",".376",".314",".296",".297",".131","88.1","12.7",31.2,6.2,38.4,"100.035107459","94.071648482",36.2,28.4,54.8
"Suárez, Eugenio","553993","2023","31","598","694","139","88","29","0","22","214","70",30.8,10.1,".232",".391",".323","0.714",".223",".419",".313",".324",".318",".196","90.3","18.9",37.7,13.2,43,"100.661115455","94.726665316",23.6,32.8,44.5
"Arenado, Nolan","571448","2023","32","560","612","149","95","26","2","26","101","41",16.5,6.7,".266",".459",".315","0.774",".266",".435",".327",".320",".316",".170","88.8","16.9",33,7.3,38.1,"99.311427863","93.760489679",34.1,20.2,48.5
"Hernández, Enrique","571771","2023","31","465","508","110","76","23","0","11","97","34",19.1,6.7,".237",".357",".289","0.646",".224",".337",".282",".272",".280",".113","87.8","17",31,4.5,33.7,"97.831208503","92.980265241",27.9,23.6,46.7
"Muncy, Max","571970","2023","32","482","579","102","48","17","1","36","153","85",26.4,14.7,".212",".475",".333","0.808",".235",".504",".344",".364",".353",".269","91.2","21.7",33.7,14.6,46.6,"101.315308623","95.11269018",23.5,29.6,39.3
"Walker, Christian","572233","2023","32","582","661","150","79","36","2","33","127","62",19.2,9.4,".258",".497",".333","0.830",".251",".460",".351",".339",".329",".210","88","15.8",32.6,11.4,40.4,"100.601281422","94.397470475",26.1,26.4,48.6
"Canha, Mark","592192","2023","34","435","507","114","77","25","1","11","79","49",15.6,9.7,".262",".400",".355","0.755",".248",".381",".333",".323",".345",".133","87.9","13.1",30.9,4.7,36.7,"98.959607624","93.632062936",23.9,18.3,41.6
"Castellanos, Nick","592206","2023","31","626","671","170","102","37","2","29","185","36",27.6,5.4,".272",".476",".311","0.787",".258",".443",".335",".320",".301",".185","88.9","14.4",36.5,10.3,43.2,"100.3894813","94.419143027",41,35.4,56.2
"Drury, Brandon","592273","2023","30","485","523","127","68","30","3","26","136","25",26,4.8,".262",".497",".306","0.803",".252",".440",".339",".318",".299",".188","89.9","11.8",35,11,46.3,"101.80875267","95.132794574",34.9,30.2,51.6
"Machado, Manny","592518","2023","30","543","601","140","89","21","0","30","109","50",18.1,8.3,".258",".462",".319","0.781",".254",".458",".334",".332",".318",".204","91","15",30.2,10.5,45.9,"102.375377","95.525381708",29.3,23.9,49.3
"Realmuto, J.T.","592663","2023","32","489","540","123","70","28","5","20","138","35",25.6,6.5,".252",".452",".310","0.762",".254",".462",".324",".334",".315",".208","89.8","16.7",36.2,11.2,43.3,"101.30139764","94.961935393",30.6,26.2,50.5
"Renfroe, Hunter","592669","2023","31","498","548","116","65","31","0","20","125","44",22.8,8,".233",".416",".297","0.713",".225",".366",".308",".289",".291",".141","88.3","15",29.5,6.1,39.1,"100.508778984","94.37524563",33.5,26.4,50.8
"Rosario, Eddie","592696","2023","31","478","516","122","74","24","3","21","122","34",23.6,6.6,".255",".450",".305","0.755",".254",".436",".322",".317",".304",".181","88.6","14.5",35.9,9.5,35.4,"98.60055257","93.424315434",43.5,29.7,57.4
"Yelich, Christian","592885","2023","31","550","632","153","99","34","1","19","140","78",22.2,12.3,".278",".447",".370","0.817",".279",".454",".353",".358",".372",".175","91.7","3.5",30.4,9.2,50.1,"103.18368722","96.096251589",24.8,26.8,45
"Merrifield, Whit","593160","2023","34","547","592","149","111","27","0","11","101","36",17.1,6.1,".272",".382",".318","0.700",".242",".335",".304",".276",".291",".093","85.1","14.4",37.2,2.4,24.3,"94.880835796","91.453019024",32.5,19.5,51.1
"Bogaerts, Xander","593428","2023","30","596","665","170","118","31","2","19","110","56",16.5,8.4,".285",".440",".350","0.790",".255",".401",".343",".318",".325",".146","87.6","7.9",28.3,6.1,34.6,"98.476149796","93.284202061",25.2,20.4,42.6
"Profar, Jurickson","595777","2023","30","459","521","111","73","27","2","9","90","50",17.3,9.6,".242",".368",".321","0.689",".247",".349",".304",".306",".329",".102","86.5","14.8",37.7,4,31.8,"97.18982877","92.606877674",25.1,20,47.2
"Baez, Javier","595879","2023","30","510","547","113","82","18","4","9","125","24",22.9,4.4,".222",".325",".267","0.592",".238",".360",".261",".283",".284",".122","88","9.4",28.9,5.2,39.7,"100.19637776","94.157773958",44,32.6,54.8
"Lindor, Francisco","596019","2023","29","602","687","153","87","33","2","31","137","66",19.9,9.6,".254",".470",".336","0.806",".255",".457",".346",".346",".340",".202","91.2","19.2",35.8,10.4,43.9,"100.821281314","94.916417775",27.2,22.8,48
"Candelario, Jeimer","600869","2023","29","505","576","127","63","39","3","22","127","53",22,9.2,".251",".471",".336","0.807",".236",".407",".346",".318",".323",".171","88.3","14.1",36.9,7.9,36.4,"99.185208","93.708029184",28.3,24.2,47.4
"Bell, Josh","605137","2023","30","547","617","135","85","28","0","22","134","63",21.7,10.2,".247",".419",".325","0.744",".263",".457",".323",".345",".341",".194","90.1","9.3",31.3,10.1,43,"101.611186796","94.955559951",27.8,25.8,47.7
"Betts, Mookie","605141","2023","30","584","693","179","99","40","1","39","107","96",15.4,13.9,".307",".579",".408","0.987",".294",".563",".416",".407",".399",".268","92.4","20.6",42.5,12.4,48.5,"100.865674689","95.28290971",16.6,16.7,38.1
"Davis, J.D.","605204","2023","30","480","546","119","77","23","1","18","152","52",27.8,9.5,".248",".412",".325","0.737",".244",".411",".321",".323",".325",".167","91.1","7.8",33.5,9.6,45.2,"101.437064311","95.258851108",26.5,34,53.1
"Arcia, Orlando","606115","2023","28","488","533","129","87","25","0","17","102","39",19.1,7.3,".264",".420",".321","0.741",".247",".398",".321",".307",".306",".152","88.2","5.4",30.6,6.9,41.1,"99.189217927","93.735384508",26.4,24.3,46.2
"Hernández, Teoscar","606192","2023","30","625","678","161","104","29","2","26","211","38",31.1,5.6,".258",".435",".305","0.740",".258",".476",".317",".336",".308",".218","91.3","12.3",35.2,13.8,49.4,"103.014681476","96.109592578",35.2,35.8,53.6
"Marte, Ketel","606466","2023","29","569","650","157","97","26","9","25","109","71",16.8,10.9,".276",".485",".358","0.843",".266",".427",".361",".342",".353",".161","91.1","10.7",30.8,8,42.8,"101.585403319","95.10445528",24.5,20.5,45.5
"Nimmo, Brandon","607043","2023","30","592","682","162","102","30","6","24","146","74",21.4,10.9,".274",".466",".363","0.829",".265",".458",".359",".355",".357",".193","91.8","12.2",33.5,9.5,47.9,"101.50757","95.462726837",19.9,22,42.4
"Turner, Trea","607208","2023","30","639","691","170","104","35","5","26","150","45",21.7,6.5,".266",".459",".320","0.779",".266",".447",".333",".330",".320",".181","89.9","13",36.1,8.4,42.2,"100.292342286","94.550003245",35.3,29.6,53.1
"Ramírez, José","608070","2023","30","611","691","172","107","36","5","24","73","73",10.6,10.6,".282",".475",".356","0.831",".299",".480",".346",".359",".373",".182","90","18",36.8,7,40.4,"100.07775","94.35370079",28.2,15.6,46.6
"Bregman, Alex","608324","2023","29","622","724","163","106","28","4","25","87","92",12,12.7,".262",".441",".363","0.804",".266",".430",".351",".351",".368",".163","88.6","17.6",35.8,5.4,38.2,"98.071537732","93.248960689",18.6,14.1,38.7
"Seager, Corey","608369","2023","29","477","536","156","81","42","0","33","88","49",16.4,9.1,".327",".623",".390","1.013",".314",".612",".419",".412",".381",".298","93.3","13",38,15.2,53.2,"103.543493485","96.785948962",28.1,25,55.1
"Meneses, Joey","608841","2023","31","611","657","168","118","36","1","13","130","38",19.8,5.8,".275",".401",".321","0.722",".247",".361",".314",".288",".295",".115","89.4","9.4",32.9,5.4,41.7,"99.929364091","94.237468244",31.5,23.6,47.6
"Swanson, Dansby","621020","2023","29","565","638","138","88","25","3","22","154","66",24.1,10.3,".244",".416",".328","0.744",".255",".458",".325",".345",".338",".203","89.3","13",35.1,10.9,39.7,"99.817409223","94.10753236",23.6,28.7,47.3
"Correa, Carlos","621043","2023","28","514","580","118","69","29","2","18","131","59",22.6,10.2,".230",".399",".312","0.711",".253",".421",".309",".330",".335",".168","90.4","10.6",31.1,9.6,45.9,"102.481230628","95.635527984",26.7,25.1,43.6
"Olson, Matt","621566","2023","29","608","720","172","88","27","3","54","167","104",23.2,14.4,".283",".604",".389","0.993",".264",".558",".413",".392",".374",".294","93.7","16.1",31,16.4,55.5,"104.825276757","97.314084392",26,28.4,46.8
"Santander, Anthony","623993","2023","28","591","656","152","82","41","1","28","152","55",23.2,8.4,".257",".472",".325","0.797",".237",".426",".340",".319",".309",".189","90.6","20.2",33,10.2,46,"101.732013378","95.319994041",34.4,23.5,49
"Alonso, Pete","624413","2023","28","568","658","123","54","21","2","46","151","65",22.9,9.9,".217",".504",".318","0.822",".246",".527",".346",".368",".343",".281","89.5","18.2",32.3,14.7,40.1,"102.342134502","95.253955701",27.4,26.2,43.7
"Soler, Jorge","624585","2023","31","504","580","126","66","24","0","36","141","66",24.3,11.4,".250",".512",".341","0.853",".262",".532",".361",".374",".354",".270","91.3","17.8",36.5,15,48,"103.053956467","95.950783079",25.6,27.6,44.1
"Cronenworth, Jake","630105","2023","29","458","522","105","64","24","7","10","97","46",18.6,8.8,".229",".378",".312","0.690",".238",".370",".301",".305",".321",".131","87.4","15.2",35.7,4.4,33.2,"97.73147257","92.917093417",26.4,15.9,47.6
"Anderson, Tim","641313","2023","30","493","524","121","100","18","2","1","122","26",23.3,5,".245",".296",".286","0.582",".252",".335",".260",".279",".295",".082","87.8","2",32.4,2.9,39.4,"99.22965129","93.713640376",35.3,25.3,53.5
"Bellinger, Cody","641355","2023","27","499","556","153","97","29","1","26","87","40",15.6,7.2,".307",".525",".356","0.881",".268",".434",".370",".327",".326",".165","87.9","17.2",38,6.1,31.4,"97.661544057","92.874372388",31,20.1,49.9
"Crawford, J.P.","641487","2023","28","534","638","142","88","35","0","19","125","94",19.6,14.7,".266",".438",".380","0.818",".260",".384",".359",".340",".375",".124","88.3","15.1",35.3,4.8,36.2,"99.143101569","93.649442623",18.6,18.6,38.6
"McMahon, Ryan","641857","2023","28","555","627","133","76","31","3","23","198","68",31.6,10.8,".240",".431",".322","0.753",".245",".445",".325",".335",".328",".201","90.8","9.7",39.4,11.4,44.2,"102.017798324","95.343043101",25.4,32.2,47.4
"Smith, Dominic","642086","2023","28","527","586","134","100","21","1","12","91","47",15.5,8,".254",".366",".326","0.692",".256",".397",".306",".320",".329",".141","86.3","12.8",37,6.6,30.8,"97.225088721","92.631850959",30.3,19.9,49
"Rosario, Amed","642708","2023","27","510","545","134","95","25","8","6","99","29",18.2,5.3,".263",".378",".305","0.683",".271",".380",".297",".305",".314",".109","88.3","7.6",33.8,3.4,39.4,"99.501582705","93.941784576",39.4,23.1,53.4
"Adames, Willy","642715","2023","27","553","638","120","65","29","2","24","165","71",25.9,11.1,".217",".407",".310","0.717",".240",".436",".311",".335",".332",".196","87.4","18.2",35,12.4,36.5,"99.086365635","93.664258959",31.8,31,50
"Estrada, Thairo","642731","2023","27","495","530","134","92","26","2","14","120","22",22.6,4.2,".271",".416",".315","0.731",".248",".371",".316",".292",".296",".123","85.9","10.8",34.7,4.8,33.7,"97.898139565","92.983630679",38,21.1,51.7
"Benintendi, Andrew","643217","2023","28","562","621","147","106","34","2","5","89","52",14.3,8.4,".262",".356",".326","0.682",".270",".375",".299",".310",".334",".105","86.6","14.5",40.9,2.9,27,"95.498075212","91.757391695",26.6,19.3,49
"McNeil, Jeff","643446","2023","31","585","648","158","119","25","4","10","65","39",10,6,".270",".378",".333","0.711",".251",".340",".314",".294",".316",".090","86","14.4",32.1,1.3,27.4,"95.984354131","92.004150754",29.9,13.4,53
"Albies, Ozzie","645277","2023","26","596","660","167","99","30","5","33","107","46",16.2,7,".280",".513",".336","0.849",".266",".467",".358",".340",".325",".201","88.7","16.6",37.4,8.2,39,"98.667615565","93.481568303",35.1,20.6,54.6
"Devers, Rafael","646240","2023","26","580","656","157","90","34","0","33","126","62",19.2,9.5,".271",".500",".351","0.851",".282",".539",".359",".380",".363",".257","93.1","12.4",30,12.7,55.1,"104.483705833","97.182864659",32.5,26.1,52.6
"Arraez, Luis","650333","2023","26","574","617","203","160","30","3","10","34","35",5.5,5.7,".354",".469",".393","0.862",".329",".458",".369",".354",".371",".129","88.3","11.5",44.7,3.5,25.7,"95.658900664","92.009454214",31.8,7.8,51
"Torres, Gleyber","650402","2023","26","596","672","163","108","28","2","25","98","67",14.6,10,".273",".453",".347","0.800",".282",".478",".346",".362",".357",".196","89.7","15.1",37.3,7.9,40.3,"99.649800996","94.055057585",25.9,21.8,46.8
"Díaz, Yandy","650490","2023","31","525","600","173","116","35","0","22","94","65",15.7,10.8,".330",".522",".410","0.932",".305",".487",".402",".383",".391",".182","93.4","5.7",30.5,9.5,54,"104.285177685","97.074568747",19.7,18.3,42.6
